Rank,City,State,Population [4],Region (2016) [5],
1,New York,New York,"202,589",Northeast,
2,Baltimore,Maryland,"80,620",South,
3,Philadelphia,Pennsylvania,"80,462",Northeast,
4,Boston,Massachusetts,"61,392",Northeast,
5,New Orleans,Louisiana,"46,082",South,
6,Charleston,South Carolina,"30,289",South,
7,Northern Liberties,Pennsylvania,"28,872",Northeast,
8,Cincinnati,Ohio,"24,831",Midwest,
9,Albany,New York,"24,209",Northeast,
10,Southwark,Pennsylvania,"20,581",Northeast,
11,Washington,District of Columbia,"18,826",South,
12,Providence,Rhode Island,"16,833",Northeast,
13,Richmond,Virginia,"16,060",South,
14,Salem,Massachusetts,"13,895",Northeast,
15,Kensington,Pennsylvania,"13,394",Northeast,
16,Portland,Maine,"12,598",Northeast,
17,Pittsburgh,Pennsylvania,"12,568",Northeast,
18,Brooklyn,New York,"12,406",Northeast,
19,Troy,New York,"11,556",Northeast,
20,Spring Garden,Pennsylvania,"11,140",Northeast,
21,Newark,New Jersey,"10,953",Northeast,
22,Louisville,Kentucky,"10,341",South,
23,New Haven,Connecticut,"10,180",Northeast,
24,Norfolk,Virginia,"9,814",South,
25,Rochester,New York,"9,207",Northeast,
26,Charlestown,Massachusetts,"8,783",Northeast,
27,Buffalo,New York,"8,668",Northeast,
28,Georgetown,District of Columbia,"8,441",South,
29,Utica,New York,"8,323",Northeast,
30,Petersburg,Virginia,"8,322",South,
31,Alexandria,District of Columbia,"8,241",South,
32,Portsmouth,New Hampshire,"8,026",Northeast,
33,Newport,Rhode Island,"8,010",Northeast,
34,Lancaster,Pennsylvania,"7,704",Northeast,
35,New Bedford,Massachusetts,"7,592",Northeast,
36,Gloucester,Massachusetts,"7,510",Northeast,
37,Savannah,Georgia,"7,303",South,
38,Nantucket,Massachusetts,"7,202",Northeast,
39,Hartford,Connecticut,"7,074",Northeast,
40,Moyamensing,Pennsylvania,"6,822",Northeast,
41,Springfield,Massachusetts,"6,784",Northeast,
42,Augusta,Georgia,"6,710",South,
43,Lowell,Massachusetts,"6,474",Northeast,
44,Newburyport,Massachusetts,"6,375",Northeast,
45,Lynn,Massachusetts,"6,138",Northeast,
46,Cambridge,Massachusetts,"6,072",Northeast,
47,Taunton,Massachusetts,"6,042",Northeast,
48,Lexington,Kentucky,"6,026",South,
49,Reading,Pennsylvania,"5,856",Northeast,
50,Nashville,Tennessee,"5,566",South,
51,Warwick,Rhode Island,"5,529",Northeast,
52,Dover,New Hampshire,"5,449",Northeast,
53,Hudson,New York,"5,392",Northeast,
54,Roxbury,Massachusetts,"5,247",Northeast,
55,Marblehead,Massachusetts,"5,149",Northeast,
56,Middleborough,Massachusetts,"5,008",Northeast,
57,St. Louis,Missouri,"4,977",Midwest,
58,Plymouth,Massachusetts,"4,758",Northeast,
59,Lynchburg,Virginia,"4,630",South,
60,Andover,Massachusetts,"4,530",Northeast,
61,Frederick,Maryland,"4,427",South,
62,New London,Connecticut,"4,335",Northeast,
63,Harrisburg,Pennsylvania,"4,312",Northeast,
