Rank,City,State,Population [6],Region (2016) [7],
1,New York,New York,"96,373",Northeast,
2,Philadelphia,Pennsylvania,"53,722",Northeast,
3,Baltimore,Maryland,"46,555",South,
4,Boston,Massachusetts,"33,787",Northeast,
5,Charleston,South Carolina,"24,711",South,
6,Northern Liberties,Pennsylvania,"19,874",Northeast,
7,New Orleans,Louisiana,"17,242",South,
8,Southwark,Pennsylvania,"13,707",Northeast,
9,Salem,Massachusetts,"12,613",Northeast,
10,Albany,New York,"10,762",Northeast,
11,Providence,Rhode Island,"10,071",Northeast,
12,Richmond,Virginia,"9,735",South,
13,Norfolk,Virginia,"9,193",South,
14,Washington,District of Columbia,"8,208",South,
15,Newport,Rhode Island,"7,907",Northeast,
16,Newburyport,Massachusetts,"7,634",Northeast,
17,Alexandria,District of Columbia,"7,227",South,
18,Portland,Maine,"7,169",Northeast,
19,Portsmouth,New Hampshire,"6,934",Northeast,
20,Nantucket,Massachusetts,"6,807",Northeast,
21,Gloucester,Massachusetts,"5,943",Northeast,
22,Schenectady,New York,"5,903",Northeast,
23,Marblehead,Massachusetts,"5,900",Northeast,
24,New Haven,Connecticut,"5,772",Northeast,
25,Petersburg,Virginia,"5,668",South,
26,New Bedford,Massachusetts,"5,651",Northeast,
27,Lancaster,Pennsylvania,"5,405",Northeast,
28,Savannah,Georgia,"5,215",South,
29,Charlestown,Massachusetts,"4,959",Northeast,
30,Georgetown,District of Columbia,"4,948",South,
31,Pittsburgh,Pennsylvania,"4,768",Northeast,
32,Beverly,Massachusetts,"4,608",Northeast,
33,Brooklyn,New York,"4,402",Northeast,
34,Middleborough,Massachusetts,"4,400",Northeast,
35,Lexington,Kentucky,"4,326",South,
36,Plymouth,Massachusetts,"4,228",Northeast,
37,Lynn,Massachusetts,"4,087",Northeast,
38,Hudson,New York,"4,048",Northeast,
39,Hartford,Connecticut,"3,955",Northeast,
40,Reading,Pennsylvania,"3,462",Northeast,
41,New London,Connecticut,"3,238",Northeast,
42,Trenton,New Jersey,"3,002",Northeast,
43,Elizabeth,New Jersey,"2,977",Northeast,
44,Norwich,Connecticut,"2,976",Northeast,
45,York,Pennsylvania,"2,847",Northeast,
46,Cincinnati,Ohio,"2,540",Midwest,
