Rank,City,State,Population [2],Region (2016) [3],
1,New York,New York,"4,766,883",Northeast,
2,Chicago,Illinois,"2,185,283",Midwest,
3,Philadelphia,Pennsylvania,"1,549,008",Northeast,
4,St. Louis,Missouri,"687,029",Midwest,
5,Boston,Massachusetts,"670,585",Northeast,
6,Cleveland,Ohio,"560,663",Midwest,
7,Baltimore,Maryland,"558,485",South,
8,Pittsburgh,Pennsylvania,"533,905",Northeast,
9,Detroit,Michigan,"465,766",Midwest,
10,Buffalo,New York,"423,715",Northeast,
11,San Francisco,California,"416,912",West,
12,Milwaukee,Wisconsin,"373,857",Midwest,
13,Cincinnati,Ohio,"363,591",Midwest,
14,Newark,New Jersey,"347,469",Northeast,
15,New Orleans,Louisiana,"339,075",South,
16,Washington,District of Columbia,"331,069",South,
17,Los Angeles,California,"319,198",West,
18,Minneapolis,Minnesota,"301,408",Midwest,
19,Jersey City,New Jersey,"267,779",Northeast,
20,Kansas City,Missouri,"248,381",Midwest,
21,Seattle,Washington,"237,194",West,
22,Indianapolis,Indiana,"233,650",Midwest,
23,Providence,Rhode Island,"224,326",Northeast,
24,Louisville,Kentucky,"223,928",South,
25,Rochester,New York,"218,149",Northeast,
26,Saint Paul,Minnesota,"214,744",Midwest,
27,Denver,Colorado,"213,381",West,
28,Portland,Oregon,"207,214",West,
29,Columbus,Ohio,"181,511",Midwest,
30,Toledo,Ohio,"168,497",Midwest,
31,Atlanta,Georgia,"154,839",South,
32,Oakland,California,"150,174",West,
33,Worcester,Massachusetts,"145,986",Northeast,
34,Syracuse,New York,"137,249",Northeast,
35,New Haven,Connecticut,"133,605",Northeast,
36,Birmingham,Alabama,"132,685",South,
37,Memphis,Tennessee,"131,105",South,
38,Scranton,Pennsylvania,"129,867",Northeast,
39,Richmond,Virginia,"127,628",South,
40,Paterson,New Jersey,"125,600",Northeast,
41,Omaha,Nebraska,"124,096",Midwest,
42,Fall River,Massachusetts,"119,295",Northeast,
43,Dayton,Ohio,"116,577",Midwest,
44,Grand Rapids,Michigan,"112,571",Midwest,
45,Nashville,Tennessee,"110,364",South,
46,Lowell,Massachusetts,"106,294",Northeast,
47,Cambridge,Massachusetts,"104,839",Northeast,
48,Spokane,Washington,"104,402",West,
49,Bridgeport,Connecticut,"102,054",Northeast,
50,Albany,New York,"100,253",Northeast,
51,Hartford,Connecticut,"98,915",Northeast,
52,Trenton,New Jersey,"96,815",Northeast,
53,New Bedford,Massachusetts,"96,652",Northeast,
54,San Antonio,Texas,"96,614",South,
55,Reading,Pennsylvania,"96,071",Northeast,
56,Camden,New Jersey,"94,538",Northeast,
57,Salt Lake City,Utah,"92,777",West,
58,Dallas,Texas,"92,104",South,
59,Lynn,Massachusetts,"89,336",Northeast,
60,Springfield,Massachusetts,"88,926",Northeast,
61,Wilmington,Delaware,"87,411",South,
62,Des Moines,Iowa,"86,368",Midwest,
63,Lawrence,Massachusetts,"85,892",Northeast,
64,Tacoma,Washington,"83,743",West,
65,Kansas City,Kansas,"82,331",Midwest,
66,Yonkers,New York,"79,803",Northeast,
67,Youngstown,Ohio,"79,066",Midwest,
68,Houston,Texas,"78,800",South,
69,Duluth,Minnesota,"78,466",Midwest,
70,St. Joseph,Missouri,"77,403",Midwest,
71,Somerville,Massachusetts,"77,236",Northeast,
72,Troy,New York,"76,813",Northeast,
73,Utica,New York,"74,419",Northeast,
74,Elizabeth,New Jersey,"73,409",Northeast,
75,Fort Worth,Texas,"73,312",South,
76,Waterbury,Connecticut,"73,141",Northeast,
77,Schenectady,New York,"72,826",Northeast,
78,Hoboken,New Jersey,"70,324",Northeast,
79,Manchester,New Hampshire,"70,063",Northeast,
80,Evansville,Indiana,"69,647",Midwest,
81,Akron,Ohio,"69,067",Midwest,
82,Norfolk,Virginia,"67,452",South,
83,Wilkes-Barre,Pennsylvania,"67,105",Northeast,
84,Peoria,Illinois,"66,950",Midwest,
85,Erie,Pennsylvania,"66,525",Northeast,
86,Savannah,Georgia,"65,064",South,
87,Oklahoma City,Oklahoma,"64,205",South,
88,Harrisburg,Pennsylvania,"64,186",Northeast,
89,Fort Wayne,Indiana,"63,933",Midwest,
90,Charleston,South Carolina,"58,833",South,
91,Portland,Maine,"58,571",Northeast,
92,East St. Louis,Illinois,"58,547",Midwest,
93,Terre Haute,Indiana,"58,157",Midwest,
94,Holyoke,Massachusetts,"57,730",Northeast,
95,Jacksonville,Florida,"57,699",South,
96,Brockton,Massachusetts,"56,878",Northeast,
97,Bayonne,New Jersey,"55,545",Northeast,
98,Johnstown,Pennsylvania,"55,482",Northeast,
99,Passaic,New Jersey,"54,773",Northeast,
100,South Bend,Indiana,"53,684",Midwest,
