Rank,City,State,Population [5],Region (2016) [6],
1,New York,New York,"60,515",Northeast,
2,Philadelphia,Pennsylvania,"41,220",Northeast,
3,Baltimore,Maryland,"26,514",South,
4,Boston,Massachusetts,"24,937",Northeast,
5,Charleston,South Carolina,"18,824",South,
6,Northern Liberties,Pennsylvania,"10,718",Northeast,
7,Southwark,Pennsylvania,"9,621",Northeast,
8,Salem,Massachusetts,"9,457",Northeast,
9,Providence,Rhode Island,"7,614",Northeast,
10,Norfolk,Virginia,"6,926",South,
11,Newport,Rhode Island,"6,739",Northeast,
12,Newburyport,Massachusetts,"5,946",Northeast,
13,Richmond,Virginia,"5,737",South,
14,Nantucket,Massachusetts,"5,617",Northeast,
15,Portsmouth,New Hampshire,"5,339",Northeast,
16,Gloucester,Massachusetts,"5,313",Northeast,
17,Albany,New York,"5,289",Northeast,
17,Schenectady,New York,"5,289",Northeast,
19,Marblehead,Massachusetts,"5,211",Northeast,
20,New London,Connecticut,"5,150",Northeast,
21,Savannah,Georgia,"5,146",South,
22,Alexandria,District of Columbia,"4,971",South,
23,Middleborough,Massachusetts,"4,458",Northeast,
24,New Bedford,Massachusetts,"4,361",Northeast,
25,Lancaster,Pennsylvania,"4,292",Northeast,
26,New Haven,Connecticut,"4,049",Northeast,
27,Portland,Maine,"3,704",Northeast,
28,Hudson,New York,"3,664",Northeast,
29,Hartford,Connecticut,"3,523",Northeast,
30,Petersburg,Virginia,"3,521",South,
31,Washington,District of Columbia,"3,210",South,
32,Georgetown,District of Columbia,"2,993",South,
33,York,Pennsylvania,"2,503",Northeast,
