Rank,City,State,Population [11],Region (2016) [12],
1,New York,New York,"1,206,299",Northeast,
2,Philadelphia,Pennsylvania,"847,170",Northeast,
3,Brooklyn,New York,"566,663",Northeast,
4,Chicago,Illinois,"503,185",Midwest,
5,Boston,Massachusetts,"362,839",Northeast,
6,St. Louis,Missouri,"350,518",Midwest,
7,Baltimore,Maryland,"332,313",South,
8,Cincinnati,Ohio,"255,139",Midwest,
9,San Francisco,California,"233,959",West,
10,New Orleans,Louisiana,"216,090",South,
11,Cleveland,Ohio,"160,146",Midwest,
12,Pittsburgh,Pennsylvania,"156,389",Northeast,
13,Buffalo,New York,"155,134",Northeast,
14,Washington,District of Columbia,"147,293",South,
15,Newark,New Jersey,"136,508",Northeast,
16,Louisville,Kentucky,"123,758",South,
17,Jersey City,New Jersey,"120,722",Northeast,
18,Detroit,Michigan,"116,340",Midwest,
19,Milwaukee,Wisconsin,"115,587",Midwest,
20,Providence,Rhode Island,"104,857",Northeast,
21,Albany,New York,"90,758",Northeast,
22,Rochester,New York,"89,366",Northeast,
23,Allegheny,Pennsylvania,"78,682",Northeast,
24,Indianapolis,Indiana,"75,056",Midwest,
25,Richmond,Virginia,"63,600",South,
26,New Haven,Connecticut,"62,882",Northeast,
27,Lowell,Massachusetts,"59,475",Northeast,
28,Worcester,Massachusetts,"58,291",Northeast,
29,Troy,New York,"56,747",Northeast,
30,Kansas City,Missouri,"55,785",Midwest,
31,Cambridge,Massachusetts,"52,669",Northeast,
32,Syracuse,New York,"51,792",Northeast,
33,Columbus,Ohio,"51,647",Midwest,
34,Paterson,New Jersey,"51,031",Northeast,
35,Toledo,Ohio,"50,137",Midwest,
36,Charleston,South Carolina,"49,984",South,
37,Fall River,Massachusetts,"48,961",Northeast,
38,Minneapolis,Minnesota,"46,887",Midwest,
39,Scranton,Pennsylvania,"45,850",Northeast,
40,Nashville,Tennessee,"43,350",South,
41,Reading,Pennsylvania,"43,278",Northeast,
42,Wilmington,Delaware,"42,478",South,
43,Hartford,Connecticut,"42,015",Northeast,
44,Camden,New Jersey,"41,659",Northeast,
45,Saint Paul,Minnesota,"41,473",Midwest,
46,Lawrence,Massachusetts,"39,151",Northeast,
47,Dayton,Ohio,"38,678",Midwest,
48,Lynn,Massachusetts,"38,274",Northeast,
49,Atlanta,Georgia,"37,409",South,
50,Denver,Colorado,"35,629",West,
51,Oakland,California,"34,555",West,
52,Utica,New York,"33,914",Northeast,
53,Portland,Maine,"33,810",Northeast,
54,Memphis,Tennessee,"33,592",South,
55,Springfield,Massachusetts,"33,340",Northeast,
56,Manchester,New Hampshire,"32,630",Northeast,
57,St. Joseph,Missouri,"32,431",Midwest,
58,Grand Rapids,Michigan,"32,016",Midwest,
59,Hoboken,New Jersey,"30,999",Northeast,
60,Harrisburg,Pennsylvania,"30,762",Northeast,
61,Wheeling,West Virginia,"30,737",South,
62,Savannah,Georgia,"30,709",South,
63,Omaha,Nebraska,"30,518",Midwest,
64,Trenton,New Jersey,"29,910",Northeast,
65,Covington,Kentucky,"29,720",South,
66,Evansville,Indiana,"29,280",Midwest,
67,Peoria,Illinois,"29,259",Midwest,
68,Mobile,Alabama,"29,132",South,
69,Elizabeth,New Jersey,"28,229",Northeast,
70,Erie,Pennsylvania,"27,737",Northeast,
71,Bridgeport,Connecticut,"27,643",Northeast,
72,Salem,Massachusetts,"27,563",Northeast,
73,Quincy,Illinois,"27,268",Midwest,
74,Fort Wayne,Indiana,"26,880",Midwest,
75,New Bedford,Massachusetts,"26,845",Northeast,
76,Terre Haute,Indiana,"26,042",Midwest,
77,Lancaster,Pennsylvania,"25,769",Northeast,
78,Somerville,Massachusetts,"24,933",Northeast,
79,Wilkes-Barre,Pennsylvania,"23,339",Northeast,
80,Des Moines,Iowa,"22,408",Midwest,
81,Dubuque,Iowa,"22,254",Midwest,
82,Galveston,Texas,"22,248",South,
83,Norfolk,Virginia,"21,966",South,
84,Auburn,New York,"21,924",Northeast,
85,Holyoke,Massachusetts,"21,915",Northeast,
86,Augusta,Georgia,"21,891",South,
87,Davenport,Iowa,"21,831",Midwest,
88,Chelsea,Massachusetts,"21,782",Northeast,
89,Petersburg,Virginia,"21,656",South,
90,Sacramento,California,"21,420",West,
91,Taunton,Massachusetts,"21,213",Northeast,
92,Oswego,New York,"21,116",Northeast,
93,Salt Lake City,Utah,"20,768",West,
94,Springfield,Ohio,"20,730",Midwest,
95,Bay City,Michigan,"20,693",Midwest,
96,San Antonio,Texas,"20,550",South,
97,Elmira,New York,"20,541",Northeast,
98,Newport,Kentucky,"20,433",South,
99,Poughkeepsie,New York,"20,207",Northeast,
100,Springfield,Illinois,"19,743",Midwest,
