Rank,City,State,Population [4],Region (2016) [5],
1,New York,New York,"515,547",Northeast,
2,Baltimore,Maryland,"169,054",South,
3,Boston,Massachusetts,"136,881",Northeast,
4,Philadelphia,Pennsylvania,"121,376",Northeast,
5,New Orleans,Louisiana,"116,375",South,
6,Cincinnati,Ohio,"115,435",Midwest,
7,Brooklyn,New York,"96,838",Northeast,
8,St. Louis,Missouri,"77,860",Midwest,
9,Spring Garden,Pennsylvania,"58,894",Northeast,
10,Albany,New York,"50,763",Northeast,
11,Northern Liberties,Pennsylvania,"47,223",Northeast,
12,Kensington,Pennsylvania,"46,774",Northeast,
13,Pittsburgh,Pennsylvania,"46,601",Northeast,
14,Louisville,Kentucky,"43,194",South,
15,Charleston,South Carolina,"42,985",South,
16,Buffalo,New York,"42,261",Northeast,
17,Providence,Rhode Island,"41,513",Northeast,
18,Washington,District of Columbia,"40,001",South,
19,Newark,New Jersey,"38,894",Northeast,
20,Southwark,Pennsylvania,"38,799",Northeast,
21,Rochester,New York,"36,403",Northeast,
22,Lowell,Massachusetts,"33,383",Northeast,
23,Williamsburgh,New York,"30,780",Northeast,
24,Chicago,Illinois,"29,963",Midwest,
25,Troy,New York,"28,785",Northeast,
26,Richmond,Virginia,"27,570",South,
27,Moyamensing,Pennsylvania,"26,979",Northeast,
28,Syracuse,New York,"22,271",Northeast,
29,Allegheny,Pennsylvania,"21,262",Northeast,
30,Detroit,Michigan,"21,019",Midwest,
31,Portland,Maine,"20,815",Northeast,
32,Mobile,Alabama,"20,515",South,
33,New Haven,Connecticut,"20,345",Northeast,
34,Salem,Massachusetts,"20,264",Northeast,
35,Milwaukee,Wisconsin,"20,061",Midwest,
36,Roxbury,Massachusetts,"18,364",Northeast,
37,Columbus,Ohio,"17,882",Midwest,
38,Utica,New York,"17,565",Northeast,
39,Charlestown,Massachusetts,"17,216",Northeast,
40,Worcester,Massachusetts,"17,049",Northeast,
41,Cleveland,Ohio,"17,034",Midwest,
42,New Bedford,Massachusetts,"16,443",Northeast,
43,Reading,Pennsylvania,"15,743",Northeast,
44,Savannah,Georgia,"15,312",South,
45,Cambridge,Massachusetts,"15,215",Northeast,
46,Bangor,Maine,"14,432",Northeast,
47,Norfolk,Virginia,"14,326",South,
48,Lynn,Massachusetts,"14,257",Northeast,
49,Lafayette,Louisiana,"14,190",South,
50,Petersburg,Virginia,"14,010",South,
51,Wilmington,Delaware,"13,979",South,
52,Manchester,New Hampshire,"13,932",Northeast,
53,Hartford,Connecticut,"13,555",Northeast,
54,Lancaster,Pennsylvania,"12,369",Northeast,
55,Oswego,New York,"12,205",Northeast,
56,Springfield,Massachusetts,"11,766",Northeast,
57,Fall River,Massachusetts,"11,524",Northeast,
58,Poughkeepsie,New York,"11,511",Northeast,
59,Wheeling,Virginia,"11,435",South,
60,Paterson,New Jersey,"11,334",Northeast,
61,Dayton,Ohio,"10,977",Midwest,
62,Taunton,Massachusetts,"10,441",Northeast,
63,Nashville,Tennessee,"10,165",South,
64,Portsmouth,New Hampshire,"9,738",Northeast,
65,Newburyport,Massachusetts,"9,572",Northeast,
66,Newport,Rhode Island,"9,563",Northeast,
67,Auburn,New York,"9,548",Northeast,
68,Camden,New Jersey,"9,479",Northeast,
69,Augusta,Georgia,"9,448",South,
70,Covington,Kentucky,"9,408",South,
71,New London,Connecticut,"8,991",Northeast,
72,Schenectady,New York,"8,921",Northeast,
73,Memphis,Tennessee,"8,841",South,
74,Alexandria,Virginia,"8,734",South,
75,Montgomery,Alabama,"8,728",South,
76,Portsmouth,Virginia,"8,626",South,
77,Concord,New Hampshire,"8,576",Northeast,
78,Nantucket,Massachusetts,"8,452",Northeast,
79,Georgetown,District of Columbia,"8,366",South,
80,Chicopee,Massachusetts,"8,291",Northeast,
81,Lawrence,Massachusetts,"8,282",Northeast,
82,Augusta,Maine,"8,225",Northeast,
83,Dover,New Hampshire,"8,196",Northeast,
84,New Albany,Indiana,"8,181",Midwest,
85,Lexington,Kentucky,"8,159",South,
86,Danvers,Massachusetts,"8,109",Northeast,
87,Indianapolis,Indiana,"8,091",Midwest,
88,Lynchburg,Virginia,"8,071",South,
89,Bath,Maine,"8,020",Northeast,
90,Madison,Indiana,"8,012",Midwest,
91,Dorchester,Massachusetts,"7,969",Northeast,
92,Zanesville,Ohio,"7,929",Midwest,
93,Harrisburg,Pennsylvania,"7,834",Northeast,
94,Gloucester,Massachusetts,"7,786",Northeast,
95,Warwick,Rhode Island,"7,740",Northeast,
96,North Providence,Rhode Island,"7,680",Northeast,
97,West Troy,New York,"7,564",Northeast,
98,Pottsville,Pennsylvania,"7,515",Northeast,
99,Wilmington,North Carolina,"7,264",South,
100,Easton,Pennsylvania,"7,250",Northeast,
