Rank,City,State,Population [3],Region (2016) [4],
1,New York,New York,"942,292",Northeast,
2,Philadelphia,Pennsylvania,"674,022",Northeast,
3,Brooklyn,New York,"396,099",Northeast,
4,St. Louis,Missouri,"310,864",Midwest,
5,Chicago,Illinois,"298,977",Midwest,
6,Baltimore,Maryland,"267,354",South,
7,Boston,Massachusetts,"250,526",Northeast,
8,Cincinnati,Ohio,"216,239",Midwest,
9,New Orleans,Louisiana,"191,418",South,
10,San Francisco,California,"149,473",West,
11,Buffalo,New York,"117,714",Northeast,
12,Washington,District of Columbia,"109,199",South,
13,Newark,New Jersey,"105,059",Northeast,
14,Louisville,Kentucky,"100,753",South,
15,Cleveland,Ohio,"92,829",Midwest,
16,Pittsburgh,Pennsylvania,"86,076",Northeast,
17,Jersey City,New Jersey,"82,546",Northeast,
18,Detroit,Michigan,"79,577",Midwest,
19,Milwaukee,Wisconsin,"71,440",Midwest,
20,Albany,New York,"69,422",Northeast,
21,Providence,Rhode Island,"68,904",Northeast,
22,Rochester,New York,"62,386",Northeast,
23,Allegheny,Pennsylvania,"53,180",Northeast,
24,Richmond,Virginia,"51,038",South,
25,New Haven,Connecticut,"50,840",Northeast,
26,Charleston,South Carolina,"48,956",South,
27,Indianapolis,Indiana,"48,244",Midwest,
28,Troy,New York,"46,465",Northeast,
29,Syracuse,New York,"43,051",Northeast,
30,Worcester,Massachusetts,"41,105",Northeast,
31,Lowell,Massachusetts,"40,928",Northeast,
32,Memphis,Tennessee,"40,226",South,
33,Cambridge,Massachusetts,"39,634",Northeast,
34,Hartford,Connecticut,"37,180",Northeast,
35,Scranton,Pennsylvania,"35,092",Northeast,
36,Reading,Pennsylvania,"33,930",Northeast,
37,Paterson,New Jersey,"33,579",Northeast,
38,Kansas City,Missouri,"32,260",Midwest,
39,Mobile,Alabama,"32,034",South,
40,Toledo,Ohio,"31,584",Midwest,
41,Portland,Maine,"31,413",Northeast,
42,Columbus,Ohio,"31,274",Midwest,
43,Wilmington,Delaware,"30,841",South,
44,Dayton,Ohio,"30,473",Midwest,
45,Lawrence,Massachusetts,"28,921",Northeast,
46,Utica,New York,"28,804",Northeast,
47,Charlestown,Massachusetts,"28,323",Northeast,
48,Savannah,Georgia,"28,235",South,
49,Lynn,Massachusetts,"28,233",Northeast,
50,Fall River,Massachusetts,"26,766",Northeast,
51,Springfield,Massachusetts,"26,703",Northeast,
52,Nashville,Tennessee,"25,865",South,
53,Covington,Kentucky,"24,505",South,
54,Salem,Massachusetts,"24,117",Northeast,
55,Quincy,Illinois,"24,052",Midwest,
56,Manchester,New Hampshire,"23,536",Northeast,
57,Harrisburg,Pennsylvania,"23,104",Northeast,
58,Trenton,New Jersey,"22,874",Northeast,
59,Peoria,Illinois,"22,849",Midwest,
60,Evansville,Indiana,"21,830",Midwest,
61,Atlanta,Georgia,"21,789",South,
62,New Bedford,Massachusetts,"21,320",Northeast,
63,Oswego,New York,"20,910",Northeast,
64,Elizabeth,New Jersey,"20,832",Northeast,
65,North Providence,Rhode Island,"20,495",Northeast,
66,Hoboken,New Jersey,"20,297",Northeast,
67,Lancaster,Pennsylvania,"20,233",Northeast,
68,Poughkeepsie,New York,"20,080",Northeast,
69,Camden,New Jersey,"20,045",Northeast,
70,Davenport,Iowa,"20,038",Midwest,
71,Saint Paul,Minnesota,"20,030",Midwest,
72,Erie,Pennsylvania,"19,646",Northeast,
73,St. Joseph,Missouri,"19,565",Midwest,
74,Wheeling,West Virginia,"19,280",South,
75,Norfolk,Virginia,"19,229",South,
76,Bridgeport,Connecticut,"18,969",Northeast,
77,Petersburg,Virginia,"18,950",South,
78,Taunton,Massachusetts,"18,629",Northeast,
79,Chelsea,Massachusetts,"18,547",Northeast,
80,Dubuque,Iowa,"18,434",Midwest,
81,Bangor,Maine,"18,289",Northeast,
82,Leavenworth,Kansas,"17,873",Midwest,
83,Fort Wayne,Indiana,"17,718",Midwest,
84,Springfield,Illinois,"17,364",Midwest,
85,Auburn,New York,"17,225",Northeast,
86,Newburgh,New York,"17,014",Northeast,
87,Norwich,Connecticut,"16,653",Northeast,
88,Grand Rapids,Michigan,"16,507",Midwest,
89,Sacramento,California,"16,283",West,
90,Terre Haute,Indiana,"16,103",Midwest,
91,Omaha,Nebraska,"16,083",Midwest,
92,Williamsport,Pennsylvania,"16,030",Northeast,
93,Elmira,New York,"15,863",Northeast,
94,New Albany,Indiana,"15,396",Midwest,
95,Augusta,Georgia,"15,389",South,
95,Gloucester,Massachusetts,"15,389",Northeast,
97,Cohoes,New York,"15,357",Northeast,
98,Newport,Kentucky,"15,087",South,
99,New Brunswick,New Jersey,"15,058",Northeast,
100,Burlington,Iowa,"14,930",Midwest,
