Rank,City,State,Population [5],Region (2016) [6],
1,New York,New York,"7,322,564",Northeast,
2,Los Angeles,California,"3,485,398",West,
3,Chicago,Illinois,"2,783,726",Midwest,
4,Houston,Texas,"1,630,553",South,
5,Philadelphia,Pennsylvania,"1,585,577",Northeast,
6,San Diego,California,"1,110,549",West,
7,Detroit,Michigan,"1,027,974",Midwest,
8,Dallas,Texas,"1,006,877",South,
9,Phoenix,Arizona,"983,403",West,
10,San Antonio,Texas,"935,933",South,
11,San Jose,California,"782,248",West,
12,Baltimore,Maryland,"736,014",South,
13,Indianapolis,Indiana,"731,327",Midwest,
14,San Francisco,California,"723,959",West,
15,Jacksonville,Florida,"635,230",South,
16,Columbus,Ohio,"632,910",Midwest,
17,Milwaukee,Wisconsin,"628,088",Midwest,
18,Memphis,Tennessee,"610,337",South,
19,Washington,District of Columbia,"606,900",South,
20,Boston,Massachusetts,"574,283",Northeast,
21,Seattle,Washington,"516,259",West,
22,El Paso,Texas,"515,342",South,
23,Cleveland,Ohio,"505,616",Midwest,
24,New Orleans,Louisiana,"496,938",South,
25,Nashville-Davidson,Tennessee,"488,374",South,
26,Denver,Colorado,"467,610",West,
27,Austin,Texas,"465,622",South,
28,Fort Worth,Texas,"447,619",South,
29,Oklahoma City,Oklahoma,"444,719",South,
30,Portland,Oregon,"437,319",West,
31,Kansas City,Missouri,"435,146",Midwest,
32,Long Beach,California,"429,433",West,
33,Tucson,Arizona,"405,390",West,
34,St. Louis,Missouri,"396,685",Midwest,
35,Charlotte,North Carolina,"395,934",South,
36,Atlanta,Georgia,"394,017",South,
37,Virginia Beach,Virginia,"393,069",South,
38,Albuquerque,New Mexico,"384,736",West,
39,Oakland,California,"372,242",West,
40,Pittsburgh,Pennsylvania,"369,879",Northeast,
41,Sacramento,California,"369,365",West,
42,Minneapolis,Minnesota,"368,383",Midwest,
43,Tulsa,Oklahoma,"367,302",South,
44,Honolulu,Hawaii,"365,272",West,
45,Cincinnati,Ohio,"364,040",Midwest,
46,Miami,Florida,"358,548",South,
47,Fresno,California,"354,202",West,
48,Omaha,Nebraska,"335,795",Midwest,
49,Toledo,Ohio,"332,943",Midwest,
50,Buffalo,New York,"328,123",Northeast,
51,Wichita,Kansas,"304,011",Midwest,
52,Santa Ana,California,"293,742",West,
53,Mesa,Arizona,"288,091",West,
54,Colorado Springs,Colorado,"281,140",West,
55,Tampa,Florida,"280,015",South,
56,Newark,New Jersey,"275,221",Northeast,
57,Saint Paul,Minnesota,"272,235",Midwest,
58,Louisville,Kentucky,"269,063",South,
59,Anaheim,California,"266,406",West,
60,Birmingham,Alabama,"265,968",South,
61,Arlington,Texas,"261,721",South,
62,Norfolk,Virginia,"261,229",South,
63,Las Vegas,Nevada,"258,295",West,
64,Corpus Christi,Texas,"257,453",South,
65,St. Petersburg,Florida,"238,629",South,
66,Rochester,New York,"231,636",Northeast,
67,Jersey City,New Jersey,"228,537",Northeast,
68,Riverside,California,"226,505",West,
69,Anchorage,Alaska,"226,338",West,
70,Lexington-Fayette,Kentucky,"225,366",South,
71,Akron,Ohio,"223,019",Midwest,
72,Aurora,Colorado,"222,103",West,
73,Baton Rouge,Louisiana,"219,531",South,
74,Stockton,California,"210,943",West,
75,Raleigh,North Carolina,"207,951",South,
76,Richmond,Virginia,"203,056",South,
77,Shreveport,Louisiana,"198,525",South,
78,Jackson,Mississippi,"196,637",South,
79,Mobile,Alabama,"196,278",South,
80,Des Moines,Iowa,"193,187",Midwest,
81,Lincoln,Nebraska,"191,972",Midwest,
82,Madison,Wisconsin,"191,262",Midwest,
83,Grand Rapids,Michigan,"189,126",Midwest,
84,Yonkers,New York,"188,082",Northeast,
85,Hialeah,Florida,"188,004",South,
86,Montgomery,Alabama,"187,106",South,
87,Lubbock,Texas,"186,206",South,
88,Greensboro,North Carolina,"183,521",South,
89,Dayton,Ohio,"182,044",Midwest,
90,Huntington Beach,California,"181,519",West,
91,Garland,Texas,"180,650",South,
92,Glendale,California,"180,038",West,
93,Columbus,Georgia,"178,681",South,
94,Spokane,Washington,"177,196",West,
95,Tacoma,Washington,"176,664",West,
96,Little Rock,Arkansas,"175,795",South,
97,Bakersfield,California,"174,820",West,
98,Fremont,California,"173,339",West,
99,Fort Wayne,Indiana,"173,072",Midwest,
100,Arlington,Virginia,"170,936",South,
